,Account,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
80,@BBC,0.3182,Tue Mar 06 17:02:04 +0000 2018,0.881,0.0,0.119,? Scientists have stumbled across a huge group of previously unknown Adélie penguins on the most northerly point of… https://t.co/3GQ8PlQyMY,81
81,@BBC,-0.0644,Tue Mar 06 15:30:10 +0000 2018,0.853,0.079,0.068,"Too many Lego bricks is a problem many parents will sympathise with, but now the toy firm itself has admitted it ha… https://t.co/4J0whItWAN",82
82,@BBC,0.6997,Tue Mar 06 14:44:33 +0000 2018,0.692,0.0,0.308,RT @bbccomedy: Nothing says welcome to the neighbourhood quite like everyone's favourite busybody ?#TwoDoorsDown https://t.co/dClRm13dm9,83
83,@BBC,0.8439,Tue Mar 06 14:30:05 +0000 2018,0.664,0.0,0.336,"? Cheers to that! 

Pubs will be allowed to stay open later than usual to give everyone a chance to celebrate Princ… https://t.co/K7toUnOwSG",84
84,@BBC,0.7269,Tue Mar 06 13:48:06 +0000 2018,0.724,0.0,0.276,"Tickets, food wrappers and posters provide a fascinating insight into the creativity of North Korea, and the image… https://t.co/oe4tZwlBJw",85
85,@BBC,0.6246,Tue Mar 06 13:12:33 +0000 2018,0.605,0.102,0.293,"RT @bbcthree: No you can't cure depression with meditation, kale or by simply cheering up. https://t.co/gsM8lRX6N2",86
86,@BBC,0.0,Tue Mar 06 13:11:26 +0000 2018,1.0,0.0,0.0,RT @BBCScotlandNews: A giant three-dimensional concrete map of Scotland is to be officially unveiled next month in the Borders https://t.co…,87
87,@BBC,0.4404,Tue Mar 06 13:10:12 +0000 2018,0.868,0.0,0.132,"??? British designer Anna Bullus is on a mission to recycle chewing gum into useful objects, cleaning up our street… https://t.co/WbBeJSXXqF",88
88,@BBC,0.5994,Tue Mar 06 12:30:05 +0000 2018,0.813,0.0,0.187,What happened to the beautiful Opal Reef that was one of the stars of David Attenborough's #BluePlanet2? https://t.co/RMNYfrBbdK,89
89,@BBC,0.7901,Tue Mar 06 10:18:16 +0000 2018,0.72,0.0,0.28,"RT @BBCSportWales: We could watch this all day! 

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Ca…",90
90,@BBC,0.4215,Tue Mar 06 09:00:05 +0000 2018,0.872,0.0,0.128,??? This baby chimp is being flown to a new home in DR Congo after it was rescued from poachers. https://t.co/rUZzDVLBt8,91
91,@BBC,-0.2732,Tue Mar 06 08:30:10 +0000 2018,0.837,0.106,0.057,?? Crippling costs and parents' split-ups could be to blame for the declining number of marriages between men and w… https://t.co/avVWNgx3jH,92
92,@BBC,0.5023,Tue Mar 06 08:03:02 +0000 2018,0.772,0.0,0.228,"We've all heard thunder before, but what does lightning sound like? ???https://t.co/3BGKK7iukQ",93
93,@BBC,0.0,Mon Mar 05 19:30:07 +0000 2018,1.0,0.0,0.0,? Who actually watched the #Oscars? https://t.co/opThFzy37n,94
